id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Concrete Rhythm,Blockprint,hip hop,energetic,0.80,96,0.68,0.90,0.08
12,Winter Nocturne,Elise Moreau,classical,melancholy,0.22,66,0.30,0.25,0.95
13,Neon Overdrive,Pulsewidth,edm,euphoric,0.95,128,0.75,0.91,0.06
14,Island Time,Sun Cadence,reggae,uplifting,0.58,92,0.82,0.85,0.30
15,Iron Verdict,Ashfall,metal,aggressive,0.98,168,0.35,0.52,0.04
16,Old Porch Light,River and Rue,folk,nostalgic,0.38,84,0.55,0.44,0.88
17,Velvet Hours,Mara Skye,r&b,romantic,0.52,72,0.64,0.78,0.34
18,Paper Airplanes,Cloudline,dream pop,dreamy,0.48,102,0.58,0.60,0.55
19,Downtown Hustle,Brass Union,funk,playful,0.72,108,0.86,0.88,0.20
